Head,Name,Manufacturer,Model,Mode,Universe,Address,X Pos(MagicQ),Y Pos(MagicQ),Z Pos(MagicQ),X Rot(MagicQ),Y Rot(MagicQ),Z Rot(MagicQ),X Pos(Unity),Y Pos(Unity),Z Pos(Unity),X Rot(Unity),Y Rot(Unity),Z Rot(Unity)
36,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.09m,8.73m,-4.65m,0°,180°,0°,3.09,8.728,4.65,90,0,0
41,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.61m,8.73m,-4.65m,0°,180°,0°,4.606,8.728,4.65,90,0,0
46,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.17m,8.73m,-4.65m,0°,180°,0°,6.17,8.728,4.65,90,0,0
10,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.63m,8.73m,-4.65m,0°,180°,0°,-4.629,8.728,4.65,90,0,0
15,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.08m,8.73m,-4.65m,0°,180°,0°,-3.08,8.728,4.65,90,0,0
3,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.16m,8.89m,-4.65m,0°,180°,0°,-6.155,8.893,4.65,90,0,0
8,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.63m,8.89m,-4.65m,0°,180°,0°,-4.629,8.893,4.65,90,0,0
13,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.08m,8.89m,-4.65m,0°,180°,0°,-3.08,8.893,4.65,90,0,0
18,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.54m,8.89m,-4.65m,0°,180°,0°,-1.536,8.893,4.65,90,0,0
23,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0m,8.89m,-4.65m,0°,180°,0°,-0.005,8.893,4.65,90,0,0
28,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.55m,8.89m,-4.65m,0°,180°,0°,1.546,8.893,4.65,90,0,0
33,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.09m,8.89m,-4.65m,0°,180°,0°,3.09,8.893,4.65,90,0,0
38,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.61m,8.89m,-4.65m,0°,180°,0°,4.606,8.893,4.65,90,0,0
43,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.17m,8.89m,-4.65m,0°,180°,0°,6.17,8.893,4.65,90,0,0
20,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.54m,8.73m,-4.65m,0°,180°,0°,-1.536,8.728,4.65,90,0,0
25,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0m,8.73m,-4.65m,0°,180°,0°,-0.005,8.728,4.65,90,0,0
30,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.55m,8.73m,-4.65m,0°,180°,0°,1.546,8.728,4.65,90,0,0
35,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.09m,8.73m,-4.65m,0°,180°,0°,3.09,8.728,4.65,90,0,0
40,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.61m,8.73m,-4.65m,0°,180°,0°,4.606,8.728,4.65,90,0,0
45,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.17m,8.73m,-4.65m,0°,180°,0°,6.17,8.728,4.65,90,0,0
4,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.16m,8.73m,-4.65m,0°,180°,0°,-6.155,8.728,4.65,90,0,0
9,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.63m,8.73m,-4.65m,0°,180°,0°,-4.629,8.728,4.65,90,0,0
14,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.08m,8.73m,-4.65m,0°,180°,0°,-3.08,8.728,4.65,90,0,0
19,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.54m,8.73m,-4.65m,0°,180°,0°,-1.536,8.728,4.65,90,0,0
24,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0m,8.73m,-4.65m,0°,180°,0°,-0.005,8.728,4.65,90,0,0
29,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.55m,8.73m,-4.65m,0°,180°,0°,1.546,8.728,4.65,90,0,0
34,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.09m,8.73m,-4.65m,0°,180°,0°,3.09,8.728,4.65,90,0,0
39,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.61m,8.73m,-4.65m,0°,180°,0°,4.606,8.728,4.65,90,0,0
44,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.17m,8.73m,-4.65m,0°,180°,0°,6.17,8.728,4.65,90,0,0
